source,target,distance
0,3,1
0,4,1
0,6,1
0,7,1
0,8,1
0,9,1
0,11,1
0,12,1
0,13,1
0,14,1
1,2,1
1,3,1
1,5,1
1,6,1
1,7,1
1,9,1
1,10,1
1,11,1
1,12,1
1,14,1
2,3,1
2,5,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,13,1
3,14,1
4,5,1
4,6,1
4,8,1
4,10,1
4,11,1
4,12,1
4,13,1
4,14,1
5,7,1
5,8,1
5,11,1
5,12,1
5,13,1
5,14,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
7,8,1
7,11,1
7,12,1
7,13,1
8,9,1
8,11,1
8,12,1
9,10,1
9,11,1
9,12,1
9,14,1
10,11,1
10,12,1
10,13,1
10,14,1
11,13,1
11,14,1
12,13,1
12,14,1
13,14,1
